,energy,danceability,speechiness,acousticness,liveness,valence
475,0.629,0.728,0.0318,0.00196,0.0847,0.71
476,0.587,0.679,0.276,0.141,0.137,0.486
477,0.701,0.659,0.164,0.0882,0.0866,0.623
478,0.794,0.764,0.0589,0.663,0.34,0.721
479,0.584,0.759,0.06,0.0652,0.16,0.374
480,0.833,0.714,0.0259,0.00249,0.298,0.663
481,0.263,0.493,0.0351,0.926,0.0879,0.158
482,0.621,0.763,0.066,0.0105,0.106,0.582
483,0.276,0.334,0.0643,0.877,0.113,0.429
484,0.739,0.691,0.229,0.422,0.11,0.884
485,0.526,0.813,0.125,0.105,0.11,0.608
486,0.457,0.824,0.0543,0.167,0.041,0.95
487,0.396,0.391,0.189,0.702,0.315,0.199
488,0.713,0.878,0.0948,0.0581,0.0822,0.615
489,0.641,0.787,0.315,0.101,0.07,0.437
490,0.741,0.616,0.0426,0.00251,0.307,0.431
491,0.646,0.723,0.102,0.0206,0.0994,0.443
492,0.512,0.716,0.0331,0.483,0.0928,0.326
493,0.922,0.632,0.0794,0.00558,0.0927,0.497
494,0.677,0.845,0.136,0.269,0.108,0.68
495,0.76,0.504,0.0426,0.286,0.151,0.64
496,0.673,0.787,0.159,0.264,0.0904,0.779
497,0.457,0.592,0.0603,0.661,0.146,0.225
498,0.74,0.64,0.0284,0.0115,0.167,0.785
499,0.819,0.773,0.118,0.428,0.0679,0.585
500,0.602,0.48,0.368,0.487,0.0848,0.269
501,0.903,0.52,0.042,0.00517,0.254,0.652
502,0.727,0.668,0.027,0.514,0.1,0.939
503,0.761,0.812,0.0812,0.0465,0.0601,0.344
504,0.912,0.637,0.308,0.352,0.0657,0.451
505,0.834,0.615,0.0667,0.105,0.157,0.341
506,0.744,0.751,0.177,0.152,0.252,0.634
507,0.37,0.53,0.0279,0.806,0.112,0.701
508,0.636,0.641,0.0414,0.289,0.125,0.285
